,date,pre_price,post_price,pct_change,company,volume,MA200,RSI,Above_MA200,RSI_Level,EPS_Actual,EPS_Estimate,EPS_Surprise
0,2025-03-19 20:00:00-04:00,87.08000183105469,94.72000122070312,8.773540685576608,MU,25484299.5,105.67496936798096,29.160493695704687,False,Oversold,,,
1,2024-12-17 19:00:00-05:00,102.68658447265625,88.51499938964844,-13.800814542411304,MU,32264678.57142857,110.21865978240967,61.409532026148945,False,Neutral,,,
2,2024-09-24 20:00:00-04:00,86.96895599365234,102.00247192382812,17.286071516453575,MU,34312880.0,104.38238079071044,32.16782338698032,False,Neutral,,,
3,2024-06-25 20:00:00-04:00,147.34327697753906,131.1667022705078,-10.978834622700294,MU,36561284.615384616,91.96775421142578,67.0720787195997,True,Neutral,,,
4,2024-03-19 20:00:00-04:00,94.10798645019531,117.50184631347656,24.858527682623368,MU,32492414.285714287,73.65015617370605,73.29505962353838,True,Overbought,,,
5,2023-12-19 19:00:00-05:00,77.35552215576172,84.97698974609375,9.852519093576252,MU,17726950.0,65.72405044555664,46.89133225826102,True,Neutral,,,
6,2023-09-26 20:00:00-04:00,69.98948669433594,69.56925964355469,-0.6004145345664578,MU,17206566.666666668,61.33089828491211,74.50428156748912,True,Overbought,,,
0,2025-02-25 19:00:00-05:00,139.38717651367188,112.67964172363281,-19.160682824663887,NVDA,299520307.14285713,125.0234407043457,62.443202940113146,True,Neutral,,,
1,2024-11-19 19:00:00-05:00,145.2366180419922,138.22776794433594,-4.82581472368751,NVDA,236989207.14285713,107.19341869354248,52.320056041271066,True,Neutral,,,
2,2024-08-27 20:00:00-04:00,129.9679718017578,102.8046646118164,-20.90000083357,NVDA,358272392.85714287,84.38788370132447,68.62328743927193,True,Neutral,,,
3,2024-05-21 20:00:00-04:00,90.36930847167969,109.59699249267578,21.27678561026252,NVDA,461376071.4285714,60.21068696975708,63.433951466466894,True,Neutral,,,
4,2024-02-20 19:00:00-05:00,72.22087860107422,82.24810791015625,13.884114266276573,NVDA,571534785.7142857,45.33823091506958,82.26861333683071,True,Overbought,,,
